"rank_adp","pos","prediction","value"
180,"RB",6.76145558316449,0.0211961761377895
181,"RB",6.7402594070267,0.0205365815373701
182,"RB",6.71972282548933,0.0198727865156973
183,"RB",6.69985003897363,0.0192057371079057
184,"RB",6.68064430186573,0.0185363908584533
185,"RB",6.66210791100727,0.0178657155395623
186,"RB",6.64424219546771,0.0171946875935527
187,"RB",6.62704750787416,0.0165242902937903
188,"RB",6.61052321758037,0.0158555116223127
189,"RB",6.59466770595805,0.0151893418680364
190,"RB",6.57947836409002,0.0145267709545429
191,"RB",6.56495159313548,0.013868785510124
192,"RB",6.55108280762535,0.013216365698792
193,"RB",6.53786644192656,0.0125704818345467
194,"RB",6.52529596009201,0.0119320908056935
195,"RB",6.51336386928632,0.0113021323395941
196,"RB",6.50206173694673,0.0106815251426928
197,"RB",6.49138021180403,0.0100711629515793
198,"RB",6.48130904885245,0.00947191053659857
199,"RB",6.47183713831585,0.00888459969815081
200,"RB",6.4629525386177,0.00831002529940239
201,"RB",6.4546425133183,0.00774894138077986
202,"RB",6.44689357193752,0.00720205739831137
203,"RB",6.43969151453921,0.00667003463248506
204,"RB",6.43302147990673,0.00615348280970451
205,"RB",6.42686799709702,0.00565295697822332
206,"RB",6.4212150401188,0.00516895467883494
207,"RB",6.41604608543996,0.00470191344767912
208,"RB",6.41134417199228,0.00425220868413856
209,"RB",6.40709196330814,0.00382015191558516
210,"RB",6.40327181139256,0.00340598948449777
211,"RB",6.39986582190806,0.00300990167936188
212,"RB",6.3968559202287,0.00263200232752236
213,"RB",6.39422391790118,0.00227233885925759
214,"RB",6.39195157904192,0.00193089285213865
215,"RB",6.39002068618978,0.00160758105396397
216,"RB",6.38841310513582,0.00130225687970409
217,"RB",6.38711084825611,0.00101471237234474
218,"RB",6.38609613588377,0.000744680610040405
219,"RB",6.38535145527373,0.000491838537351796
220,"RB",6.38485961673638,0.000255810193560357
221,"RB",6.38460380654282,3.61703044529094e-05
222,"RB",6.38456763623836,0
223,"RB",6.38456763623836,0
224,"RB",6.38456763623836,0
225,"RB",6.38456763623836,0
226,"RB",6.38456763623836,0
227,"RB",6.38456763623836,0
